 Pvap bin lower limit [log10(Cstar)], Pvap bin upper limit [log10(Cstar)], Time [s], Kh [M/atm], MW [g/mol], Yield (SOA), Yield (total), Atomic O/C ratio, Atomic H/C ratio, Atomic N/C ratio, Precursor [ppb]                                                                                                               
-4,-3,15649.14844,2.72195E+11,114.0990782,0,0,0.600000068,1.199999967,7.06E-10,149.9422762
-3,-2,15649.14844,8.83E+17,125.2684547,0,0,0.486338643,0.873921473,3.90E-02,149.9422762
-2,-1,15649.14844,1.87692E+16,195.8302341,0,0,0.719079788,0.853557385,0.279919955,149.9422762
-1,0,15649.14844,3.28794E+15,118.9738072,0,0,0.680593676,1.195889533,1.06E-03,149.9422762
0,1,15649.14844,3.82518E+13,60.27776372,0,0,0.377673241,1.963266184,3.80E-03,149.9422762
1,2,15649.14844,1.33628E+13,98.85506257,0,0,0.832880936,1.04454046,3.51E-03,149.9422762
2,3,15649.14844,2.02538E+13,98.29802741,0,0,1.758488547,1.040151892,7.93E-04,149.9422762
3,4,15649.14844,41499332.56,119.3810529,0,0,1.483084702,1.304639356,6.60E-03,149.9422762
4,5,15649.14844,4.69724E+14,130.2833011,0,0,1.329041261,1.030012414,0.12397173,149.9422762
5,6,15649.14844,60954218.47,119.0999662,0,0,1.333465336,1.666120313,0.333227765,149.9422762
6,7,15649.14844,1999331.163,210.0249525,0,0,2.999511322,0.666909698,0.666427752,149.9422762
7,8,15649.14844,5016926.705,373.7579016,0,0,3.17712369,0.803812999,0.792374553,149.9422762
8,9,15649.14844,29224.25818,132.3089754,0,0,1.26164517,1.011941843,3.97E-03,149.9422762
9,10,15649.14844,602979.5538,198.4740096,0,0,1.6,0.960831057,7.97E-02,149.9422762
-10,-9,15950.07422,0,0,0,0,0,0,0,149.9422762
-9,-8,15950.07422,8.99962E+15,147.0644857,0,0,1.499994505,0.750035718,0,149.9422762
-8,-7,15950.07422,9.59E+17,197.9113657,0,0,2.112636459,0.792907308,7.15E-08,149.9422762
-7,-6,15950.07422,3.009E+14,140.1361901,0,0,0.428571763,1.142857014,5.13E-14,149.9422762
-6,-5,15950.07422,7.48E+17,120.5467105,0,0,0.928460263,0.854903705,7.97E-09,149.9422762
-5,-4,15950.07422,5.95318E+11,120.847001,0,0,0.709551749,0.72162676,8.62E-02,149.9422762
-4,-3,15950.07422,2.71721E+11,114.0990781,0,0,0.600000067,1.199999967,7.10E-10,149.9422762
-3,-2,15950.07422,8.78E+17,125.4046007,0,0,0.495000111,0.874642778,4.07E-02,149.9422762
-2,-1,15950.07422,1.89283E+16,195.8128779,0,0,0.719125285,0.853526497,0.279875811,149.9422762
-1,0,15950.07422,3.29417E+15,119.0102558,0,0,0.680869266,1.195649845,1.11E-03,149.9422762
0,1,15950.07422,3.82345E+13,60.2781831,0,0,0.377716219,1.963104319,3.75E-03,149.9422762
1,2,15950.07422,1.33979E+13,98.85924561,0,0,0.833267211,1.044657378,3.54E-03,149.9422762
2,3,15950.07422,2.05403E+13,98.41114655,0,0,1.75506437,1.040720929,7.91E-04,149.9422762
3,4,15950.07422,41575752.77,119.3647004,0,0,1.481885119,1.304495841,6.61E-03,149.9422762
4,5,15950.07422,4.70764E+14,130.4311544,0,0,1.328583037,1.030159413,0.124326337,149.9422762
5,6,15950.07422,60972210.4,119.1003817,0,0,1.333467843,1.666109383,0.333225561,149.9422762
6,7,15950.07422,1999331.149,210.0249662,0,0,2.999510636,0.666910002,0.666427588,149.9422762
7,8,15950.07422,5016589.411,373.8036948,0,0,3.177570465,0.803738523,0.792523479,149.9422762
8,9,15950.07422,27167.93394,130.2865204,0,0,1.267496849,1.061212604,3.86E-03,149.9422762
9,10,15950.07422,603243.6087,198.4710979,0,0,1.6,0.960990126,7.97E-02,149.9422762
-10,-9,16251,0,0,0,0,0,0,0,149.9422762
-9,-8,16251,8.99962E+15,147.0644651,0,0,1.499994569,0.7500353,0,149.9422762
-8,-7,16251,9.59E+17,197.8991678,0,0,2.112892069,0.792956714,6.98E-08,149.9422762
-7,-6,16251,3.009E+14,140.1361901,0,0,0.428571763,1.142857014,5.15E-14,149.9422762
-6,-5,16251,7.48E+17,120.5516893,0,0,0.928262718,0.854855477,7.93E-09,149.9422762
-5,-4,16251,5.92465E+11,121.0518033,0,0,0.717433029,0.719742117,8.74E-02,149.9422762
-4,-3,16251,2.71304E+11,114.0990781,0,0,0.600000067,1.199999967,7.13E-10,149.9422762
-3,-2,16251,8.72E+17,125.5416939,0,0,0.503720774,0.87536881,4.24E-02,149.9422762
-2,-1,16251,1.90813E+16,195.7961298,0,0,0.719168797,0.853496774,0.279833245,149.9422762
-1,0,16251,3.29831E+15,119.043237,0,0,0.681107354,1.195430768,1.15E-03,149.9422762
0,1,16251,3.82172E+13,60.27954544,0,0,0.377775158,1.962934306,3.69E-03,149.9422762
1,2,16251,1.34314E+13,98.86349867,0,0,0.833642013,1.044769037,3.57E-03,149.9422762
2,3,16251,2.08177E+13,98.52068242,0,0,1.75174855,1.041271972,7.89E-04,149.9422762
3,4,16251,41652132.31,119.3484653,0,0,1.480692771,1.304353137,6.62E-03,149.9422762
4,5,16251,4.7179E+14,130.5763073,0,0,1.328133397,1.030302102,0.124673783,149.9422762
5,6,16251,60989806.3,119.1007952,0,0,1.333470333,1.666098468,0.333223353,149.9422762
6,7,16251,1999331.248,210.0249852,0,0,2.999510031,0.666910266,0.666427465,149.9422762
7,8,16251,5016265.878,373.8476162,0,0,3.177998978,0.803667092,0.792666317,149.9422762
8,9,16251,23008.30901,126.1523588,0,0,1.278787952,1.161099551,3.40E-03,149.9422762
9,10,16251,601965.2809,198.485194,0,0,1.6,0.960220049,7.99E-02,149.9422762
-10,-9,16551.92578,0,0,0,0,0,0,0,149.9422762
-9,-8,16551.92578,8.99962E+15,147.0644441,0,0,1.499994635,0.750034875,0,149.9422762
-8,-7,16551.92578,9.59E+17,197.8875441,0,0,2.113128061,0.793009141,6.81E-08,149.9422762
-7,-6,16551.92578,3.00899E+14,140.1361901,0,0,0.428571763,1.142857014,5.18E-14,149.9422762
-6,-5,16551.92578,7.48E+17,120.5565738,0,0,0.928068599,0.854807805,7.90E-09,149.9422762
-5,-4,16551.92578,5.89687E+11,121.2511796,0,0,0.725105503,0.717907405,8.86E-02,149.9422762
-4,-3,16551.92578,2.7084E+11,114.099078,0,0,0.600000067,1.199999967,7.16E-10,149.9422762
-3,-2,16551.92578,8.67E+17,125.6796953,0,0,0.512498428,0.876099437,4.41E-02,149.9422762
-2,-1,16551.92578,1.92292E+16,195.7798622,0,0,0.719210589,0.853468004,0.279791935,149.9422762
-1,0,16551.92578,3.29951E+15,119.0713606,0,0,0.68129142,1.19523926,1.20E-03,149.9422762
0,1,16551.92578,3.81998E+13,60.28179437,0,0,0.377849035,1.962756772,3.64E-03,149.9422762
1,2,16551.92578,1.34634E+13,98.86773859,0,0,0.834004126,1.044875712,3.60E-03,149.9422762
2,3,16551.92578,2.10864E+13,98.62675806,0,0,1.748536769,1.041805717,7.87E-04,149.9422762
3,4,16551.92578,41727721.12,119.3323407,0,0,1.479509884,1.304211647,6.63E-03,149.9422762
4,5,16551.92578,4.72799E+14,130.7185702,0,0,1.32769288,1.030440661,0.125013767,149.9422762
5,6,16551.92578,61006921,119.1011991,0,0,1.333472781,1.666087609,0.333221141,149.9422762
6,7,16551.92578,1999331.462,210.0250097,0,0,2.999509506,0.666910489,0.666427381,149.9422762
7,8,16551.92578,5015960.67,373.8890245,0,0,3.178402971,0.803599749,0.792800982,149.9422762
8,9,16551.92578,29780.16169,132.9835671,0,0,1.261662541,0.997958804,4.69E-03,149.9422762
9,10,16551.92578,601084.8518,198.4949026,0,0,1.6,0.95968967,8.01E-02,149.9422762
-10,-9,16852.85156,0,0,0,0,0,0,0,149.9422762
-9,-8,16852.85156,8.99963E+15,147.0644232,0,0,1.4999947,0.75003445,0,149.9422762
-8,-7,16852.85156,9.60E+17,197.8767406,0,0,2.113319713,0.793077295,6.65E-08,149.9422762
-7,-6,16852.85156,3.00899E+14,140.1361901,0,0,0.428571763,1.142857014,5.20E-14,149.9422762
-6,-5,16852.85156,7.49E+17,120.5613586,0,0,0.927878054,0.85476069,7.87E-09,149.9422762
-5,-4,16852.85156,5.86981E+11,121.4453567,0,0,0.732577899,0.716120538,8.97E-02,149.9422762
-4,-3,16852.85156,2.70438E+11,114.099078,0,0,0.600000067,1.199999967,7.19E-10,149.9422762
-3,-2,16852.85156,8.62E+17,125.8185368,0,0,0.521328869,0.876834335,4.58E-02,149.9422762
-2,-1,16852.85156,1.93721E+16,195.7640855,0,0,0.719250713,0.853440192,0.279751904,149.9422762
-1,0,16852.85156,3.29897E+15,119.0964747,0,0,0.681445353,1.195067555,1.24E-03,149.9422762
0,1,16852.85156,3.81825E+13,60.28486912,0,0,0.377936722,1.962572481,3.59E-03,149.9422762
1,2,16852.85156,1.34941E+13,98.8719801,0,0,0.834355119,1.044977899,3.63E-03,149.9422762
2,3,16852.85156,2.13467E+13,98.72948401,0,0,1.745426187,1.042322661,7.84E-04,149.9422762
3,4,16852.85156,41801897.14,119.3163216,0,0,1.478338315,1.304071705,6.65E-03,149.9422762
4,5,16852.85156,4.73792E+14,130.8580833,0,0,1.327261036,1.030575336,0.125346671,149.9422762
5,6,16852.85156,61023632.79,119.1016016,0,0,1.33347521,1.666076789,0.333218931,149.9422762
6,7,16852.85156,1999331.789,210.0250395,0,0,2.999509063,0.666910672,0.666427338,149.9422762
7,8,16852.85156,5015666.409,373.9289315,0,0,3.178792317,0.803534847,0.792930764,149.9422762
8,9,16852.85156,29772.64333,133.0194183,0,0,1.26222148,0.99791296,4.91E-03,149.9422762
9,10,16852.85156,602987.226,198.473925,0,0,1.6,0.960835678,7.97E-02,149.9422762
-10,-9,17153.77734,0,0,0,0,0,0,0,149.9422762
-9,-8,17153.77734,8.99963E+15,147.064402,0,0,1.499994766,0.750034019,0,149.9422762
-8,-7,17153.77734,9.60E+17,197.8665232,0,0,2.113489228,0.793149995,6.49E-08,149.9422762
-7,-6,17153.77734,3.00899E+14,140.1361901,0,0,0.428571763,1.142857014,5.22E-14,149.9422762
-6,-5,17153.77734,7.49E+17,120.5660657,0,0,0.927690335,0.854714053,7.83E-09,149.9422762
-5,-4,17153.77734,5.84344E+11,121.6345304,0,0,0.739857752,0.714379713,9.08E-02,149.9422762
-4,-3,17153.77734,2.70006E+11,114.0990779,0,0,0.600000067,1.199999967,7.21E-10,149.9422762
-3,-2,17153.77734,8.57E+17,125.9581647,0,0,0.530208927,0.877573286,4.75E-02,149.9422762
-2,-1,17153.77734,1.9511E+16,195.7486812,0,0,0.719289416,0.853413142,0.279712853,149.9422762
-1,0,17153.77734,3.29595E+15,119.1174646,0,0,0.681553593,1.194919354,1.29E-03,149.9422762
0,1,17153.77734,3.81652E+13,60.28872123,0,0,0.378037346,1.96238196,3.55E-03,149.9422762
1,2,17153.77734,1.35234E+13,98.87614983,0,0,0.834693811,1.045075798,3.66E-03,149.9422762
2,3,17153.77734,2.15989E+13,98.82897733,0,0,1.742412782,1.042823455,7.82E-04,149.9422762
3,4,17153.77734,41874221.77,119.300399,0,0,1.477179084,1.303933519,6.66E-03,149.9422762
4,5,17153.77734,4.74767E+14,130.9947064,0,0,1.326838263,1.030706271,0.125672278,149.9422762
5,6,17153.77734,61039865.74,119.1019959,0,0,1.333477597,1.666066042,0.333216724,149.9422762
6,7,17153.77734,1999332.231,210.0250746,0,0,2.999508701,0.666910815,0.666427335,149.9422762
7,8,17153.77734,5015387.063,373.9667757,0,0,3.179161535,0.803473303,0.793053837,149.9422762
8,9,17153.77734,29765.05872,133.0556829,0,0,1.262788694,0.997867212,5.14E-03,149.9422762
9,10,17153.77734,604448.0003,198.457817,0,0,1.6,0.961715663,7.94E-02,149.9422762
-10,-9,17454.70313,0,0,0,0,0,0,0,149.9422762
-9,-8,17454.70313,8.99964E+15,147.0643807,0,0,1.499994833,0.750033588,0,149.9422762
-8,-7,17454.70313,9.60E+17,197.8570691,0,0,2.113618826,0.793236377,6.33E-08,149.9422762
-7,-6,17454.70313,3.00899E+14,140.1361901,0,0,0.428571763,1.142857014,5.25E-14,149.9422762
-6,-5,17454.70313,7.49E+17,120.5706929,0,0,0.927505533,0.854667909,7.79E-09,149.9422762
-5,-4,17454.70313,5.81775E+11,121.8188741,0,0,0.746951738,0.712683334,9.19E-02,149.9422762
-4,-3,17454.70313,2.69621E+11,114.0990778,0,0,0.600000067,1.199999967,7.23E-10,149.9422762
-3,-2,17454.70313,8.52E+17,126.0984986,0,0,0.539133597,0.878315894,4.93E-02,149.9422762
-2,-1,17454.70313,1.96459E+16,195.7336506,0,0,0.719326751,0.853386848,0.279674782,149.9422762
-1,0,17454.70313,3.2913E+15,119.1356474,0,0,0.68163338,1.194789282,1.33E-03,149.9422762
0,1,17454.70313,3.81479E+13,60.2932987,0,0,0.378149947,1.962185847,3.50E-03,149.9422762
1,2,17454.70313,1.35516E+13,98.88026102,0,0,0.835021436,1.045169783,3.69E-03,149.9422762
2,3,17454.70313,2.18432E+13,98.92534147,0,0,1.739493762,1.043308579,7.80E-04,149.9422762
3,4,17454.70313,41944346.98,119.2845692,0,0,1.476033175,1.303797269,6.67E-03,149.9422762
4,5,17454.70313,4.75725E+14,131.1285539,0,0,1.326424194,1.030833671,0.125990901,149.9422762
5,6,17454.70313,61055674.29,119.1023881,0,0,1.33347996,1.666055361,0.333214526,149.9422762
6,7,17454.70313,1999332.786,210.025115,0,0,2.99950842,0.666910917,0.666427372,149.9422762
7,8,17454.70313,5015117.418,374.0032799,0,0,3.17951768,0.803413937,0.793172552,149.9422762
8,9,17454.70313,29759.83334,133.0821259,0,0,1.263229675,0.997843211,5.33E-03,149.9422762
9,10,17454.70313,606462.3759,198.4356044,0,0,1.6,0.962929142,7.90E-02,149.9422762
-10,-9,17755.62891,0,0,0,0,0,0,0,149.9422762
-9,-8,17755.62891,8.99964E+15,147.0643595,0,0,1.499994899,0.750033157,0,149.9422762
-8,-7,17755.62891,9.61E+17,197.8483465,0,0,2.1137106,0.793335428,6.18E-08,149.9422762
-7,-6,17755.62891,3.00899E+14,140.1361901,0,0,0.428571763,1.142857014,5.27E-14,149.9422762
-6,-5,17755.62891,7.49E+17,120.5752473,0,0,0.927323378,0.854622219,7.76E-09,149.9422762
-5,-4,17755.62891,5.79271E+11,121.9984541,0,0,0.753862404,0.711030792,9.30E-02,149.9422762
-4,-3,17755.62891,2.69273E+11,114.0990778,0,0,0.600000067,1.199999967,7.24E-10,149.9422762
-3,-2,17755.62891,8.47E+17,126.23944,0,0,0.54809696,0.879061734,5.10E-02,149.9422762
-2,-1,17755.62891,1.97774E+16,195.7189205,0,0,0.719362893,0.853361187,0.279637505,149.9422762
-1,0,17755.62891,3.28501E+15,119.1509643,0,0,0.681683967,1.194677559,1.38E-03,149.9422762
0,1,17755.62891,3.81306E+13,60.2985555,0,0,0.378273689,1.961984679,3.47E-03,149.9422762
1,2,17755.62891,1.35787E+13,98.88426732,0,0,0.835337607,1.045260125,3.71E-03,149.9422762
2,3,17755.62891,2.20798E+13,99.01867616,0,0,1.736666032,1.043778547,7.78E-04,149.9422762
3,4,17755.62891,40373403.28,119.2997668,0,0,1.482396048,1.30482273,6.42E-03,149.9422762
4,5,17755.62891,4.76665E+14,131.2596447,0,0,1.326018754,1.030957687,0.126302641,149.9422762
5,6,17755.62891,61074271.14,119.1037989,0,0,1.333479198,1.666038583,0.333204606,149.9422762
6,7,17755.62891,1999301.369,210.023649,0,0,2.999485824,0.666922177,0.666416251,149.9422762
7,8,17755.62891,5014857.148,374.0384742,0,0,3.179861044,0.803356703,0.793287007,149.9422762
8,9,17755.62891,7874.786118,111.0069256,0,0,1.318614432,1.525076107,1.18E-03,149.9422762
9,10,17755.62891,609903.2783,198.3976614,0,0,1.6,0.965001975,7.83E-02,149.9422762
-10,-9,18056.55469,0,0,0,0,0,0,0,149.9422762
-9,-8,18056.55469,8.99965E+15,147.0643381,0,0,1.499994966,0.750032723,0,149.9422762
-8,-7,18056.55469,9.61E+17,197.8402834,0,0,2.113771629,0.793443662,6.03E-08,149.9422762
-7,-6,18056.55469,3.00899E+14,140.1361901,0,0,0.428571763,1.142857014,5.29E-14,149.9422762
-6,-5,18056.55469,7.49E+17,120.5797378,0,0,0.927143606,0.854576981,7.73E-09,149.9422762
-5,-4,18056.55469,5.76838E+11,122.1730152,0,0,0.760579935,0.709424434,9.40E-02,149.9422762
-4,-3,18056.55469,2.68932E+11,114.0990777,0,0,0.600000067,1.199999967,7.26E-10,149.9422762
-3,-2,18056.55469,8.41E+17,126.3808051,0,0,0.557087971,0.879810007,5.28E-02,149.9422762
-2,-1,18056.55469,1.9906E+16,195.7044359,0,0,0.719397972,0.853336064,0.279600883,149.9422762
-1,0,18056.55469,3.27686E+15,119.1630774,0,0,0.681701647,1.194586082,1.42E-03,149.9422762
0,1,18056.55469,3.81134E+13,60.30445094,0,0,0.378407842,1.961778905,3.43E-03,149.9422762
1,2,18056.55469,1.36048E+13,98.88814657,0,0,0.835642284,1.045347011,3.74E-03,149.9422762
2,3,18056.55469,2.23091E+13,99.10909447,0,0,1.733926151,1.044233933,7.75E-04,149.9422762
3,4,18056.55469,40438069.42,119.284606,0,0,1.48130791,1.30469386,6.43E-03,149.9422762
4,5,18056.55469,4.77587E+14,131.3879789,0,0,1.325621924,1.031078447,0.126607553,149.9422762
5,6,18056.55469,61085954.06,119.1031612,0,0,1.3334846,1.666034258,0.333210173,149.9422762
6,7,18056.55469,1999302.19,210.0237019,0,0,2.999485735,0.666922184,0.666416382,149.9422762
7,8,18056.55469,5014606.896,374.072274,0,0,3.180190804,0.803301735,0.793396927,149.9422762
8,9,18056.55469,29744.69199,133.1549393,0,0,1.264376384,0.997754033,5.79E-03,149.9422762
9,10,18056.55469,610200.8297,198.3943803,0,0,1.6,0.965181223,7.83E-02,149.9422762
-10,-9,18357.48242,0,0,0,0,0,0,0,149.9422762
-9,-8,18357.48242,8.99965E+15,147.0643166,0,0,1.499995033,0.750032288,0,149.9422762
-8,-7,18357.48242,9.61E+17,197.8329276,0,0,2.113797367,0.793563428,5.88E-08,149.9422762
-7,-6,18357.48242,3.00899E+14,140.1361901,0,0,0.428571763,1.142857014,5.31E-14,149.9422762
-6,-5,18357.48242,7.49E+17,120.5841632,0,0,0.926966241,0.854532182,7.69E-09,149.9422762
-5,-4,18357.48242,5.74471E+11,122.3427668,0,0,0.767112382,0.707862335,9.50E-02,149.9422762
-4,-3,18357.48242,2.68619E+11,114.0990777,0,0,0.600000067,1.199999967,7.27E-10,149.9422762
-3,-2,18357.48242,8.36E+17,126.5223961,0,0,0.56609361,0.880559548,5.45E-02,149.9422762
-2,-1,18357.48242,2.00321E+16,195.6901595,0,0,0.719432098,0.853311412,0.27956482,149.9422762
-1,0,18357.48242,3.26722E+15,119.172578,0,0,0.681692245,1.194510841,1.47E-03,149.9422762
0,1,18357.48242,3.80963E+13,60.31094592,0,0,0.378551705,1.961568963,3.40E-03,149.9422762
1,2,18357.48242,1.36299E+13,98.89188295,0,0,0.835935577,1.045430632,3.76E-03,149.9422762
2,3,18357.48242,2.25313E+13,99.19670749,0,0,1.731270846,1.044675288,7.73E-04,149.9422762
3,4,18357.48242,40501098.08,119.269488,0,0,1.480228243,1.304566288,6.44E-03,149.9422762
4,5,18357.48242,4.78492E+14,131.5136124,0,0,1.325233523,1.031196076,0.126905799,149.9422762
5,6,18357.48242,61100416.66,119.1035421,0,0,1.333486874,1.666023857,0.333208023,149.9422762
6,7,18357.48242,1999303.125,210.0237601,0,0,2.999485728,0.666922149,0.666416555,149.9422762
7,8,18357.48242,5014364.827,374.1049208,0,0,3.180509314,0.803248643,0.793503098,149.9422762
8,9,18357.48242,29737.24011,133.1909342,0,0,1.264946229,0.997710966,6.03E-03,149.9422762
9,10,18357.48242,610105.4838,198.3954317,0,0,1.6,0.965123785,7.83E-02,149.9422762
-10,-9,18658.4082,0,0,0,0,0,0,0,149.9422762
-9,-8,18658.4082,8.99966E+15,147.0642952,0,0,1.499995099,0.750031853,0,149.9422762
-8,-7,18658.4082,9.62E+17,197.8262842,0,0,2.113786956,0.79369522,5.74E-08,149.9422762
-7,-6,18658.4082,3.00899E+14,140.1361901,0,0,0.428571763,1.142857014,5.34E-14,149.9422762
-6,-5,18658.4082,7.49E+17,120.5885265,0,0,0.926791206,0.854487846,7.66E-09,149.9422762
-5,-4,18658.4082,5.72167E+11,122.5079774,0,0,0.773470086,0.706342023,9.60E-02,149.9422762
-4,-3,18658.4082,2.68334E+11,114.0990777,0,0,0.600000066,1.199999967,7.28E-10,149.9422762
-3,-2,18658.4082,8.31E+17,126.6640706,0,0,0.575104569,0.881309533,5.63E-02,149.9422762
-2,-1,18658.4082,2.01561E+16,195.6760489,0,0,0.719465382,0.853287159,0.279529208,149.9422762
-1,0,18658.4082,3.25617E+15,119.1795659,0,0,0.681657539,1.194451765,1.52E-03,149.9422762
0,1,18658.4082,3.80792E+13,60.31800359,0,0,0.378704618,1.961355262,3.37E-03,149.9422762
1,2,18658.4082,1.36541E+13,98.89545731,0,0,0.836217528,1.045511181,3.78E-03,149.9422762
2,3,18658.4082,2.27467E+13,99.28161556,0,0,1.728697013,1.045103126,7.71E-04,149.9422762
3,4,18658.4082,40562634.44,119.2544459,0,0,1.479158432,1.304440128,6.45E-03,149.9422762
4,5,18658.4082,4.79379E+14,131.6365921,0,0,1.324853395,1.031310692,0.127197523,149.9422762
5,6,18658.4082,61114433.31,119.1039202,0,0,1.333489118,1.666013568,0.333205894,149.9422762
6,7,18658.4082,1999304.179,210.0238238,0,0,2.999485808,0.666922072,0.666416769,149.9422762
7,8,18658.4082,5014130.129,374.1365282,0,0,3.180817684,0.803197241,0.793605888,149.9422762
8,9,18658.4082,29730.64365,133.2233103,0,0,1.265468321,0.997675487,6.24E-03,149.9422762
9,10,18658.4082,609964.6507,198.3969847,0,0,1.6,0.965038946,7.83E-02,149.9422762
-10,-9,18959.33398,0,0,0,0,0,0,0,149.9422762
-9,-8,18959.33398,8.99966E+15,147.0642738,0,0,1.499995166,0.750031419,0,149.9422762
-8,-7,18959.33398,9.62E+17,197.8203568,0,0,2.113739706,0.793839441,5.60E-08,149.9422762
-7,-6,18959.33398,3.009E+14,140.1361901,0,0,0.428571763,1.142857014,5.36E-14,149.9422762
-6,-5,18959.33398,7.49E+17,120.5928288,0,0,0.926618441,0.854443933,7.63E-09,149.9422762
-5,-4,18959.33398,5.69924E+11,122.6688627,0,0,0.779661339,0.704861513,9.69E-02,149.9422762
-4,-3,18959.33398,2.68078E+11,114.0990776,0,0,0.600000066,1.199999967,7.28E-10,149.9422762
-3,-2,18959.33398,8.26E+17,126.8057225,0,0,0.584113982,0.88205937,5.80E-02,149.9422762
-2,-1,18959.33398,2.02783E+16,195.6620639,0,0,0.719497928,0.853263234,0.279493946,149.9422762
-1,0,18959.33398,3.2438E+15,119.184181,0,0,0.681599529,1.194408385,1.56E-03,149.9422762
0,1,18959.33398,3.80623E+13,60.32558988,0,0,0.378865975,1.961138178,3.34E-03,149.9422762
1,2,18959.33398,1.36774E+13,98.89885109,0,0,0.836488194,1.045588851,3.81E-03,149.9422762
2,3,18959.33398,2.29556E+13,99.36391439,0,0,1.726201712,1.045517936,7.69E-04,149.9422762
3,4,18959.33398,40622653.64,119.2394964,0,0,1.478099513,1.304315493,6.46E-03,149.9422762
4,5,18959.33398,4.80248E+14,131.7569607,0,0,1.324481397,1.031422424,0.127482862,149.9422762
5,6,18959.33398,61128003.16,119.1042959,0,0,1.333491335,1.666003398,0.333203791,149.9422762
6,7,18959.33398,1999305.35,210.023893,0,0,2.999485973,0.666921952,0.666417026,149.9422762
7,8,18959.33398,5013902.064,374.1671925,0,0,3.181116853,0.803147373,0.793705611,149.9422762
8,9,18959.33398,29722.08946,133.2640839,0,0,1.26610369,0.997623243,6.50E-03,149.9422762
9,10,18959.33398,617476.2446,198.314154,0,0,1.6,0.969564003,7.68E-02,149.9422762
-10,-9,19260.25977,0,0,0,0,0,0,0,149.9422762
-9,-8,19260.25977,8.99967E+15,147.0642524,0,0,1.499995233,0.750030986,0,149.9422762
-8,-7,19260.25977,9.62E+17,197.8151504,0,0,2.113654867,0.793996515,5.47E-08,149.9422762
-7,-6,19260.25977,3.009E+14,140.1361901,0,0,0.428571763,1.142857014,5.38E-14,149.9422762
-6,-5,19260.25977,7.49E+17,120.5970741,0,0,0.926447829,0.854400457,7.59E-09,149.9422762
-5,-4,19260.25977,5.67738E+11,122.8256027,0,0,0.785693077,0.703419147,9.78E-02,149.9422762
-4,-3,19260.25977,2.67854E+11,114.0990776,0,0,0.600000066,1.199999967,7.29E-10,149.9422762
-3,-2,19260.25977,8.20E+17,126.9472652,0,0,0.593116318,0.882808592,5.98E-02,149.9422762
-2,-1,19260.25977,2.03991E+16,195.6481659,0,0,0.719529834,0.853239571,0.279458934,149.9422762
-1,0,19260.25977,3.23023E+15,119.1866193,0,0,0.681520004,1.194379248,1.61E-03,149.9422762
0,1,19260.25977,3.80454E+13,60.33367186,0,0,0.379035191,1.960918075,3.31E-03,149.9422762
1,2,19260.25977,1.36998E+13,98.90204802,0,0,0.836747615,1.045663807,3.83E-03,149.9422762
2,3,19260.25977,2.31581E+13,99.44369286,0,0,1.723782223,1.045920173,7.67E-04,149.9422762
3,4,19260.25977,40681059.7,119.2246485,0,0,1.477052334,1.304192493,6.47E-03,149.9422762
4,5,19260.25977,4.811E+14,131.8747606,0,0,1.324117389,1.031531386,0.12776195,149.9422762
5,6,19260.25977,61141128.38,119.1046696,0,0,1.333493524,1.665993355,0.333201717,149.9422762
6,7,19260.25977,1999306.638,210.0239676,0,0,2.999486224,0.666921789,0.666417324,149.9422762
7,8,19260.25977,5013679.943,374.1970003,0,0,3.181407663,0.8030989,0.793802548,149.9422762
8,9,19260.25977,29715.49187,133.2964354,0,0,1.266624824,0.997587597,6.71E-03,149.9422762
9,10,19260.25977,619146.1029,198.2957405,0,0,1.6,0.970569942,7.65E-02,149.9422762
-10,-9,19561.18555,0,0,0,0,0,0,0,149.9422762
-9,-8,19561.18555,8.99967E+15,147.0642311,0,0,1.4999953,0.750030553,0,149.9422762
-8,-7,19561.18555,9.62E+17,197.8106705,0,0,2.113531693,0.794166856,5.33E-08,149.9422762
-7,-6,19561.18555,3.009E+14,140.1361901,0,0,0.428571763,1.142857014,5.40E-14,149.9422762
-6,-5,19561.18555,7.50E+17,120.6012644,0,0,0.926279303,0.854357399,7.56E-09,149.9422762
-5,-4,19561.18555,5.65608E+11,122.9783526,0,0,0.791571268,0.702013499,9.87E-02,149.9422762
-4,-3,19561.18555,2.67663E+11,114.0990776,0,0,0.600000066,1.199999967,7.29E-10,149.9422762
-3,-2,19561.18555,8.15E+17,127.0886203,0,0,0.60210661,0.88355679,6.15E-02,149.9422762
-2,-1,19561.18555,2.05188E+16,195.6343177,0,0,0.719561197,0.853216107,0.279424078,149.9422762
-1,0,19561.18555,3.21557E+15,119.1870137,0,0,0.681420916,1.194363954,1.65E-03,149.9422762
0,1,19561.18555,3.80286E+13,60.3422198,0,0,0.379211741,1.960695271,3.29E-03,149.9422762
1,2,19561.18555,1.37216E+13,98.90503276,0,0,0.836995819,1.045736203,3.85E-03,149.9422762
2,3,19561.18555,2.33544E+13,99.52103709,0,0,1.721435916,1.046310273,7.64E-04,149.9422762
3,4,19561.18555,40737752.62,119.2099066,0,0,1.476017488,1.304071212,6.48E-03,149.9422762
4,5,19561.18555,4.81935E+14,131.9900313,0,0,1.323761237,1.031637686,0.128034909,149.9422762
5,6,19561.18555,61153806.55,119.1050416,0,0,1.333495685,1.665983447,0.333199674,149.9422762
6,7,19561.18555,1999308.043,210.0240476,0,0,2.999486561,0.666921584,0.666417664,149.9422762
