 Pvap bin lower limit [log10(Cstar)], Pvap bin upper limit [log10(Cstar)], Time [s], Kh [M/atm], MW [g/mol], Yield (SOA), Yield (total), Atomic O/C ratio, Atomic H/C ratio, Atomic N/C ratio, Precursor [ppb]                                                                                                               
7,8,903.777771,1138422.948,288.3103537,0,0,1.969497771,1.258530501,0.383432346,149.9422762
8,9,903.777771,8682.039688,253.7616026,0,0,3.524295366,0.973210921,0.939240177,149.9422762
9,10,903.777771,4000.00012,205.07898,0,0,1.6,0.6,0.2,149.9422762
-10,-9,1204.703735,0,0,0,0,0,0,0,149.9422762
-9,-8,1204.703735,8.99971E+15,147.0640426,0,0,1.499995888,0.75002673,0,149.9422762
-8,-7,1204.703735,8.58E+17,202.3975203,0,0,1.96630173,0.81156161,4.59E-07,149.9422762
-7,-6,1204.703735,3.00453E+14,140.136195,0,0,0.428571597,1.142857078,5.43E-17,149.9422762
-6,-5,1204.703735,7.48E+17,120.8524688,0,0,0.919137737,0.854976265,1.51E-07,149.9422762
-5,-4,1204.703735,6.00533E+11,120.4063186,0,0,0.692805756,0.725600557,8.36E-02,149.9422762
-4,-3,1204.703735,2.614E+12,114.0994177,0,0,0.600000845,1.199999577,8.71E-11,149.9422762
-3,-2,1204.703735,6.93E+17,118.2883405,0,0,0.318166259,0.905215396,3.59E-05,149.9422762
-2,-1,1204.703735,1.81024E+15,164.0546861,0,0,0.699991761,1.1047313,0.221644614,149.9422762
-1,0,1204.703735,1.20007E+14,114.3018277,0,0,0.60438089,1.198625713,4.20E-04,149.9422762
0,1,1204.703735,1020844267,164.045281,0,0,2.333243422,0.666711628,0.333310858,149.9422762
1,2,1204.703735,3.29436E+11,144.7993375,0,0,1.775385165,1.001096201,0.132130957,149.9422762
2,3,1204.703735,8785852085,90.05128246,0,0,2.000134017,0.999955072,9.12E-05,149.9422762
3,4,1204.703735,102671.0027,120.052491,0,0,1.666097984,1.333261417,9.01E-06,149.9422762
4,5,1204.703735,7.48405E+14,150.2148751,0,0,1.273611258,1.001860937,0.151544474,149.9422762
5,6,1204.703735,60010651.18,119.0767544,0,0,1.333336425,1.666662907,0.333333535,149.9422762
6,7,1204.703735,1998993.072,210.0086156,0,0,2.999297083,0.667018125,0.666315208,149.9422762
7,8,1204.703735,2136281.541,314.422959,0,0,2.313012098,1.135037488,0.497949847,149.9422762
8,9,1204.703735,9197.730914,255.7345485,0,0,3.638468515,0.999185171,0.988275602,149.9422762
9,10,1204.703735,4000.000139,205.07898,0,0,1.6,0.6,0.2,149.9422762
-10,-9,1505.629639,0,0,0,0,0,0,0,149.9422762
-9,-8,1505.629639,8.9997E+15,147.0641188,0,0,1.49999565,0.750028274,0,149.9422762
-8,-7,1505.629639,8.73E+17,201.7127822,0,0,1.990020718,0.807744223,4.02E-07,149.9422762
-7,-6,1505.629639,3.00492E+14,140.1361946,0,0,0.428571611,1.142857073,1.01E-16,149.9422762
-6,-5,1505.629639,7.48E+17,120.8043995,0,0,0.920823002,0.85520371,6.75E-08,149.9422762
-5,-4,1505.629639,6.0299E+11,120.2261292,0,0,0.685825398,0.727276439,8.26E-02,149.9422762
