dnn_1 : {'RMSE': 0.006639691718143936, 'R2': 0.006639691718143936, 'HD': 0.07761373590383608}
lstm_1 : {'RMSE': 0.0016366667829652004, 'R2': 0.0016366667829652004, 'HD': 0.02164495771540472}

dnn_1 : {'RMSE': 0.0026119794397224173, 'R2': 0.0026119794397224173, 'HD': 0.04235524736595463}
lstm_1 : {'RMSE': 0.0002331501680246056, 'R2': 0.0002331501680246056, 'HD': 0.00047535367614201106}

dnn_1 : {'RMSE': 0.0003403277858130775, 'R2': 0.0003403277858130775, 'HD': 0.00017033384385019054}
lstm_1 : {'RMSE': 0.02260146275213373, 'R2': 0.02260146275213373, 'HD': 0.00012244709630798419}

dnn_1 : {'RMSE': 0.0035307046565407458, 'R2': 0.0035307046565407458, 'HD': 0.09294300699512933}
lstm_1_0 : {'RMSE': 0.0010231619536343749, 'R2': 0.0010231619536343749, 'HD': 0.011862285420744809}
lstm_1_1 : {'RMSE': 0.0010231619536343749, 'R2': 0.0010231619536343749, 'HD': 0.011862285420744809}
lstm_1_2 : {'RMSE': 0.0010231619536343749, 'R2': 0.0010231619536343749, 'HD': 0.011862285420744809}

lstm_1_0 : {'RMSE': 0.002193052855160488, 'R2': 0.002193052855160488, 'HD': 0.03055322152896909}
lstm_1_1 : {'RMSE': 0.002193052855160488, 'R2': 0.002193052855160488, 'HD': 0.03055322152896909}
lstm_1_2 : {'RMSE': 0.002193052855160488, 'R2': 0.002193052855160488, 'HD': 0.03055322152896909}

lstm_1_0 : {'RMSE': 0.001536907732157616, 'R2': 0.001536907732157616, 'HD': 0.015721566021620535}
lstm_1_1 : {'RMSE': 0.0026632543340920326, 'R2': 0.0026632543340920326, 'HD': 0.01762090871431952}

lstm_1_0 : {'RMSE': 0.0032458186969784248, 'R2': 0.0032458186969784248, 'HD': 0.061574475522222095}
lstm_1_1 : {'RMSE': 0.0031577010434825953, 'R2': 0.0031577010434825953, 'HD': 0.04187389282228489}

lstm_1_0 : {'RMSE': 0.0023356576346184607, 'R2': 0.0023356576346184607, 'HD': 0.025619843024073777}
lstm_1_1 : {'RMSE': 0.00158338767932839, 'R2': 0.00158338767932839, 'HD': 0.017323538361677156}

lstm_1_0 : {'RMSE': 0.0016225138810890766, 'R2': 0.0016225138810890766, 'HD': 0.015488119969795598}
lstm_1_1 : {'RMSE': 0.0016343867596917351, 'R2': 0.0016343867596917351, 'HD': 0.015511003494435861}

lstm_1_0 : {'RMSE': 0.0014506738989213325, 'R2': 0.0014506738989213325, 'HD': 0.011505157452839759}
lstm_1_1 : {'RMSE': 0.0016106811100716344, 'R2': 0.0016106811100716344, 'HD': 0.01706115076491969}

lstm_1_0 : {'RMSE': 0.0021130558526064975, 'R2': 0.0021130558526064975, 'HD': 0.01913150771962547}
lstm_1_1 : {'RMSE': 0.0018622434791017307, 'R2': 0.0018622434791017307, 'HD': 0.016751057951368043}
lstm_1_2 : {'RMSE': 0.0020714409108188586, 'R2': 0.0020714409108188586, 'HD': 0.01961290861947318}
lstm_1_3 : {'RMSE': 0.0020356724146871484, 'R2': 0.0020356724146871484, 'HD': 0.04967640261814921}
lstm_1_4 : {'RMSE': 0.0027183691563785035, 'R2': 0.0027183691563785035, 'HD': 0.02504412980644291}

